Date,competition1,competition2,competition3,competition4,competition,competitionsStarted,daysFromAnnouncement,daysToDeadline,daysAfterDeadline,daysOfProject,weekday,volunteer,interventions
2020-07-09,0,0,0,0,0,0,0,0,0,1,Thursday,Amy_is_in_Vegas,0
2020-07-10,0,0,0,0,0,0,0,0,0,2,Friday,Amy_is_in_Vegas,0
2020-07-11,0,0,0,0,0,0,0,0,0,3,Saturday,Amy_is_in_Vegas,0
2020-07-12,0,0,0,0,0,0,0,0,0,4,Sunday,Amy_is_in_Vegas,0
2020-07-13,0,0,0,0,0,0,0,0,0,5,Monday,Amy_is_in_Vegas,0
2020-07-14,0,0,0,0,0,0,0,0,0,6,Tuesday,Amy_is_in_Vegas,0
2020-07-15,0,0,0,0,0,0,0,0,0,7,Wednesday,Amy_is_in_Vegas,0
2020-07-16,0,0,0,0,0,0,0,0,0,8,Thursday,Amy_is_in_Vegas,0
2020-07-17,0,0,0,0,0,0,0,0,0,9,Friday,Amy_is_in_Vegas,0
2020-07-18,0,0,0,0,0,0,0,0,0,10,Saturday,Amy_is_in_Vegas,0
2020-07-19,0,0,0,0,0,0,0,0,0,11,Sunday,Amy_is_in_Vegas,0
2020-07-20,0,0,0,0,0,0,0,0,0,12,Monday,Amy_is_in_Vegas,0
2020-07-21,0,0,0,0,0,0,0,0,0,13,Tuesday,Amy_is_in_Vegas,0
2020-07-22,0,0,0,0,0,0,0,0,0,14,Wednesday,Amy_is_in_Vegas,0
2020-07-23,0,0,0,0,0,0,0,0,0,15,Thursday,Amy_is_in_Vegas,2
2020-07-24,1,0,0,0,1,1,1,8,0,16,Friday,Amy_is_in_Vegas,0
2020-07-25,1,0,0,0,1,1,2,7,0,17,Saturday,Amy_is_in_Vegas,0
2020-07-26,1,0,0,0,1,1,3,6,0,18,Sunday,Amy_is_in_Vegas,0
2020-07-27,1,0,0,0,1,1,4,5,0,19,Monday,Amy_is_in_Vegas,0
2020-07-28,1,0,0,0,1,1,5,4,0,20,Tuesday,Amy_is_in_Vegas,0
2020-07-29,1,0,0,0,1,1,6,3,0,21,Wednesday,Amy_is_in_Vegas,0
2020-07-30,1,0,0,0,1,1,7,2,0,22,Thursday,Amy_is_in_Vegas,0
2020-07-31,1,0,0,0,1,1,8,1,0,23,Friday,Amy_is_in_Vegas,0
2020-08-01,0,0,0,0,0,1,0,0,1,24,Saturday,Amy_is_in_Vegas,0
