"","user","sumLowBefore","sumHighBefore","sumPlBefore","sumPhBefore","activityBefore","activityAfter","activityDiff","group","treatment","type","count","day"
"1","_h0r1z0n",0,0,0,0,2,0,-2,"Rcontrol",0,"l",0,1
"2","_Janx_",0,0,0,0,4,4,0,"Rcontrol",0,"l",0,1
"3","_mysticspiral",0,0,0,0,14,7,-7,"Rcontrol",0,"l",0,1
"4","_PruneDealer",0,0,0,0,8,8,0,"Rcontrol",0,"l",0,1
"5","_savydigital_",0,0,0,0,3,16,13,"Rcontrol",0,"l",0,1
"6","-JERAMBE-",0,0,0,0,9,7,-2,"Rcontrol",0,"l",0,1
"7","101TheLegend101",0,0,0,0,50,27,-23,"Rcontrol",0,"l",0,1
"8","19arjunk",0,0,0,0,2,0,-2,"Rcontrol",0,"l",0,1
"9","1orland",0,0,0,0,7,4,-3,"Rcontrol",0,"l",0,1
"10","20_bernie_16",0,0,0,0,43,29,-14,"Rcontrol",0,"l",0,1
"11","22cthulu",0,0,0,0,33,43,10,"Rcontrol",0,"l",0,1
"12","2hu_ism",0,0,0,0,17,23,6,"Rcontrol",0,"l",0,1
"13","316am",0,0,0,0,18,3,-15,"Rcontrol",0,"l",0,1
"14","52wicky",0,0,0,0,1,0,-1,"Rcontrol",0,"l",0,1
"15","6yrsStllMD",0,0,0,0,13,0,-13,"Rcontrol",0,"l",0,1
"16","8crybaby8",0,0,0,0,38,19,-19,"Rcontrol",0,"l",0,1
"17","9yearold4sky",0,0,0,0,38,4,-34,"Rcontrol",0,"l",0,1
"18","a-space-pirate",0,0,0,0,3,5,2,"Rcontrol",0,"l",0,1
"19","aaronracicot",0,0,0,0,8,21,13,"Rcontrol",0,"l",0,1
"20","acaldazabal",0,0,0,0,7,2,-5,"Rcontrol",0,"l",0,1
"21","acewithanagenda",0,0,0,0,2,0,-2,"Rcontrol",0,"l",0,1
"22","AchYerAuldBallix",0,0,0,0,10,24,14,"Rcontrol",0,"l",0,1
"23","Acidic_White_Girl",0,0,0,0,39,27,-12,"Rcontrol",0,"l",0,1
"24","AcrobaticJournalist5",0,0,0,0,61,27,-34,"Rcontrol",0,"l",0,1
"25","adagiomullet122",0,0,0,0,19,0,-19,"Rcontrol",0,"l",0,1
"26","adgo18",0,0,0,0,3,7,4,"Rcontrol",0,"l",0,1
"27","Adolf-Hitler696969",0,0,0,0,43,1,-42,"Rcontrol",0,"l",0,1
"28","AE_59",0,0,0,0,13,9,-4,"Rcontrol",0,"l",0,1
"29","Aextasis",0,0,0,0,25,8,-17,"Rcontrol",0,"l",0,1
"30","AK_Au_Diver",0,0,0,0,2,4,2,"Rcontrol",0,"l",0,1
"31","Aletheiya",0,0,0,0,11,9,-2,"Rcontrol",0,"l",0,1
"32","Alex_jones_hr4",0,0,0,0,5,0,-5,"Rcontrol",0,"l",0,1
"33","alex-manool",0,0,0,0,9,0,-9,"Rcontrol",0,"l",0,1
"34","alex99901",0,0,0,0,18,10,-8,"Rcontrol",0,"l",0,1
"35","Alfeetoe",0,0,0,0,1,0,-1,"Rcontrol",0,"l",0,1
"36","alfred725",0,0,0,0,35,20,-15,"Rcontrol",0,"l",0,1
"37","Alfredo_James",0,0,0,0,5,3,-2,"Rcontrol",0,"l",0,1
"38","alienman",0,0,0,0,10,0,-10,"Rcontrol",0,"l",0,1
"39","All-That-Is-Good",0,0,0,0,24,52,28,"Rcontrol",0,"l",0,1
"40","allthingzshiny",0,0,0,0,11,6,-5,"Rcontrol",0,"l",0,1
"41","AlphacideXXX",0,0,0,0,25,21,-4,"Rcontrol",0,"l",0,1
"42","amusculamidget",0,0,0,0,3,2,-1,"Rcontrol",0,"l",0,1
"43","Anabolex95",0,0,0,0,51,17,-34,"Rcontrol",0,"l",0,1
"44","anxietytango",0,0,0,0,4,1,-3,"Rcontrol",0,"l",0,1
"45","AnythingSweet4516",0,0,0,0,1,0,-1,"Rcontrol",0,"l",0,1
"46","aokiji97",0,0,0,0,21,7,-14,"Rcontrol",0,"l",0,1
"47","APEXWheels",0,0,0,0,14,2,-12,"Rcontrol",0,"l",0,1
"48","APlagueOfGrackles",0,0,0,0,31,24,-7,"Rcontrol",0,"l",0,1
"49","applesarezesty",0,0,0,0,25,10,-15,"Rcontrol",0,"l",0,1
"50","archentity",0,0,0,0,2,0,-2,"Rcontrol",0,"l",0,1
"51","arianit08",0,0,0,0,20,26,6,"Rcontrol",0,"l",0,1
"52","aris0_1",0,0,0,0,45,4,-41,"Rcontrol",0,"l",0,1
